Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Winner Name,Loser Name,Winner,Loser
Sat Nov 19 2016,Phoenix Suns,105,Philadelphia 76ers,120,Philadelphia 76ers,Phoenix Suns,PHI,PHX
Sat Nov 19 2016,Miami Heat,114,Washington Wizards,111,Miami Heat,Washington Wizards,MIA,WAS
Sun Nov 20 2016,Portland Trail Blazers,129,Brooklyn Nets,109,Portland Trail Blazers,Brooklyn Nets,POR,BKN
Sun Nov 20 2016,Utah Jazz,91,Denver Nuggets,105,Denver Nuggets,Utah Jazz,DEN,UTA
Sun Nov 20 2016,Chicago Bulls,118,Los Angeles Lakers,110,Chicago Bulls,Los Angeles Lakers,CHI,LAL
Sun Nov 20 2016,Atlanta Hawks,94,New York Knicks,104,New York Knicks,Atlanta Hawks,NYK,ATL
Sun Nov 20 2016,Indiana Pacers,115,Oklahoma City Thunder,111,Indiana Pacers,Oklahoma City Thunder,IND,OKC
Sun Nov 20 2016,Toronto Raptors,99,Sacramento Kings,102,Sacramento Kings,Toronto Raptors,SAC,TOR
Mon Nov 21 2016,Memphis Grizzlies,105,Charlotte Hornets,90,Memphis Grizzlies,Charlotte Hornets,MEM,CHA
Mon Nov 21 2016,Houston Rockets,99,Detroit Pistons,96,Houston Rockets,Detroit Pistons,HOU,DET
Mon Nov 21 2016,Golden State Warriors,120,Indiana Pacers,83,Golden State Warriors,Indiana Pacers,GSW,IND
Mon Nov 21 2016,Toronto Raptors,115,Los Angeles Clippers,123,Los Angeles Clippers,Toronto Raptors,LAC,TOR
Mon Nov 21 2016,Orlando Magic,89,Milwaukee Bucks,93,Milwaukee Bucks,Orlando Magic,MIL,ORL
Mon Nov 21 2016,Boston Celtics,99,Minnesota Timberwolves,93,Boston Celtics,Minnesota Timberwolves,BOS,MIN
Mon Nov 21 2016,Miami Heat,94,Philadelphia 76ers,101,Philadelphia 76ers,Miami Heat,PHI,MIA
Mon Nov 21 2016,Dallas Mavericks,91,San Antonio Spurs,96,San Antonio Spurs,Dallas Mavericks,SAS,DAL
Mon Nov 21 2016,Phoenix Suns,101,Washington Wizards,106,Washington Wizards,Phoenix Suns,WAS,PHX
Tue Nov 22 2016,New Orleans Pelicans,112,Atlanta Hawks,94,New Orleans Pelicans,Atlanta Hawks,NOP,ATL
Tue Nov 22 2016,Chicago Bulls,107,Denver Nuggets,110,Denver Nuggets,Chicago Bulls,DEN,CHI
Tue Nov 22 2016,Oklahoma City Thunder,109,Los Angeles Lakers,111,Los Angeles Lakers,Oklahoma City Thunder,LAL,OKC
Tue Nov 22 2016,Portland Trail Blazers,103,New York Knicks,107,New York Knicks,Portland Trail Blazers,NYK,POR
Wed Nov 23 2016,Boston Celtics,111,Brooklyn Nets,92,Boston Celtics,Brooklyn Nets,BOS,BKN
Wed Nov 23 2016,San Antonio Spurs,119,Charlotte Hornets,114,San Antonio Spurs,Charlotte Hornets,SAS,CHA
Wed Nov 23 2016,Portland Trail Blazers,125,Cleveland Cavaliers,137,Cleveland Cavaliers,Portland Trail Blazers,CLE,POR
Wed Nov 23 2016,Los Angeles Clippers,124,Dallas Mavericks,104,Los Angeles Clippers,Dallas Mavericks,LAC,DAL
Wed Nov 23 2016,Miami Heat,84,Detroit Pistons,107,Detroit Pistons,Miami Heat,DET,MIA
Wed Nov 23 2016,Los Angeles Lakers,106,Golden State Warriors,149,Golden State Warriors,Los Angeles Lakers,GSW,LAL
Wed Nov 23 2016,Toronto Raptors,115,Houston Rockets,102,Toronto Raptors,Houston Rockets,TOR,HOU
Wed Nov 23 2016,Atlanta Hawks,96,Indiana Pacers,85,Atlanta Hawks,Indiana Pacers,ATL,IND
Wed Nov 23 2016,Minnesota Timberwolves,96,New Orleans Pelicans,117,New Orleans Pelicans,Minnesota Timberwolves,NOP,MIN
