Player,Position,Age,Team,Games,Minutes Played,FG,FGA,FG%,EFG%,FT%,Rebound,Assist,Steal,Block,Points
Kyle Anderson,SF,24,SAS,74,26.7,3.1,5.9,0.527,0.549,0.712,5.4,2.7,1.6,0.8,7.9
Jerryd Bayless,SG,29,PHI,39,23.7,2.8,6.7,0.416,0.519,0.795,2.1,1.4,0.6,0.2,7.9
Antonio Blakeney,SG,21,CHI,19,16.5,2.8,7.5,0.371,0.423,0.769,1.7,1.1,0.4,0.1,7.9
Josh Hart,SG,22,LAL,63,23.2,2.8,6,0.469,0.573,0.702,4.2,1.3,0.7,0.3,7.9
Cory Joseph,PG,26,IND,82,27,3.1,7.4,0.424,0.479,0.745,3.2,3.2,1,0.2,7.9
Frank Mason,PG,23,SAC,52,18.9,2.8,7.3,0.379,0.42,0.817,2.5,2.8,0.7,0.2,7.9
David Nwaba,SG,25,CHI,70,23.5,2.9,6,0.478,0.499,0.655,4.7,1.5,0.8,0.4,7.9
Chandler Parsons,SF,29,MEM,36,19.2,3,6.5,0.462,0.571,0.63,2.5,1.9,0.5,0.3,7.9
Darius Miller,SF,27,NOP,82,23.7,2.6,5.9,0.444,0.594,0.866,2,1.4,0.3,0.2,7.8
Tyler Ulis,PG,22,PHO,71,23.4,3,7.8,0.388,0.426,0.832,1.8,4.4,1,0.1,7.8
Justise Winslow,PF,21,MIA,68,24.7,3,7.2,0.424,0.474,0.635,5.4,2.2,0.8,0.5,7.8
Alec Burks,SG,26,UTA,64,16.5,2.7,6.5,0.411,0.467,0.863,3,1,0.6,0.1,7.7
Mario Chalmers,PG,31,MEM,66,21.5,2.5,6.7,0.379,0.439,0.855,2.4,3,1.2,0.2,7.7
Marquese Chriss,PF,20,PHO,72,21.2,2.8,6.6,0.423,0.482,0.608,5.5,1.2,0.7,1,7.7
Jarell Martin,PF,23,MEM,73,22.8,3,6.8,0.446,0.48,0.767,4.4,1,0.5,0.7,7.7
Tony Parker,PG,35,SAS,55,19.5,3.2,7.1,0.459,0.472,0.705,1.7,3.5,0.5,0,7.7
Marreese Speights,C,30,ORL,52,13,2.7,6.7,0.395,0.519,0.727,2.6,0.8,0.2,0.4,7.7
Luke Kennard,SG,21,DET,73,20,2.8,6.4,0.443,0.53,0.855,2.4,1.7,0.6,0.2,7.6
Mike Muscala,C,26,ATL,53,20,2.7,5.9,0.458,0.558,0.919,4.3,1,0.6,0.5,7.6
Dante Cunningham,SF,30,BRK,22,20.3,3,6.3,0.468,0.55,0.688,4.8,1,0.5,0.6,7.5
James Ennis,SF,27,DET,27,20.4,2.7,6,0.457,0.522,0.767,2.5,0.8,0.6,0.2,7.5
Jarrett Jack,PG,34,NYK,62,25,3,7.1,0.427,0.455,0.84,3.1,5.6,0.6,0.1,7.5
Luc Mbah a Moute,PF,31,HOU,61,25.6,2.7,5.7,0.481,0.572,0.684,3,0.9,1.2,0.4,7.5
Ben McLemore,SG,24,MEM,56,19.5,2.8,6.7,0.421,0.495,0.828,2.5,0.9,0.7,0.3,7.5
Troy Williams,SF,23,NYK,17,17.1,2.9,5.9,0.49,0.545,0.704,3.5,0.9,1.1,0.2,7.5
Dwight Buycks,PG,28,DET,29,14.7,2.8,6.8,0.414,0.452,0.878,1.4,2,0.7,0.1,7.4
Ian Clark,SG,26,NOP,74,19.7,3,6.7,0.448,0.511,0.763,1.7,1.5,0.4,0.1,7.4
Pascal Siakam,PF,23,TOR,81,20.7,3.1,6.1,0.508,0.537,0.621,4.5,2,0.8,0.5,7.3
Nick Young,SG,32,GSW,80,17.4,2.5,6.1,0.412,0.538,0.862,1.6,0.5,0.5,0.1,7.3
Tyler Dorsey,SG,21,ATL,56,17.4,2.6,6.8,0.377,0.471,0.714,2.3,1.4,0.3,0.1,7.2
Tomas Satoransky,SG,26,WAS,73,22.5,2.8,5.3,0.523,0.585,0.781,3.2,3.9,0.7,0.2,7.2
Markelle Fultz,SG,19,PHI,14,18.1,3.2,7.9,0.405,0.405,0.476,3.1,3.8,0.9,0.3,7.1
Kyle O'Quinn,C,27,NYK,77,18,2.9,5,0.582,0.587,0.772,6.1,2.1,0.5,1.3,7.1
Mason Plumlee,C,27,DEN,74,19.4,3,5,0.601,0.601,0.456,5.4,1.9,0.7,1.1,7.1
Mirza Teletovic,PF,32,MIL,10,15.9,2.5,5.7,0.439,0.623,,2.3,1,0.4,0.1,7.1
Cody Zeller,C,25,CHO,33,19,2.6,4.7,0.545,0.551,0.718,5.4,0.9,0.4,0.6,7.1
Al Jefferson,C,33,IND,36,13.4,3.1,5.8,0.534,0.534,0.833,4,0.8,0.4,0.6,7
Jamil Wilson,SF,27,LAC,15,18.3,2.5,5.4,0.469,0.636,0.5,2.1,0.7,0.3,0.5,7
